Date,Shift,Excavator,Dumper,Trip Count for Mining,Trip Count for Reclaim,Total Trips,Qty (m3),Grader,Dozer
01/07/2025,A,0,0,0,0,0,0,0,0
01/07/2025,B,1,5,0,14,14,182,0,0
01/07/2025,C,0,0,0,0,0,0,0,0
01/07/2025,Total,1,5,0,14,14,182,0,0
07/07/2025,A,2,7,0,39,39,507,0,0
07/07/2025,B,2,7,0,24,24,312,0,0
07/07/2025,C,1,5,0,0,0,0,0,0
07/07/2025,Total,5,19,0,63,63,819,0,0
08/07/2025,A,3,8,0,28,28,364,0,0
08/07/2025,B,3,8,0,53,53,689,0,0
08/07/2025,C,2,7,0,0,0,0,0,0
08/07/2025,Total,8,23,0,81,81,1053,0,0
09/07/2025,A,4,9,0,11,11,143,0,0
09/07/2025,B,4,9,0,0,0,0,0,0
09/07/2025,C,3,8,0,0,0,0,0,0
09/07/2025,Total,11,26,0,11,11,143,0,0
10/07/2025,A,4,9,0,72,72,936,0,0
10/07/2025,B,4,9,0,0,0,0,0,0
10/07/2025,C,4,9,0,0,0,0,0,0
10/07/2025,Total,12,27,0,72,72,936,0,0
11/07/2025,A,4,10,0,25,25,325,0,0
11/07/2025,B,4,11,0,45,45,585,0,0
11/07/2025,C,4,9,0,56,56,728,0,0
11/07/2025,Total,12,30,0,126,126,1638,0,0
12/07/2025,A,4,12,0,53,53,689,0,0
12/07/2025,B,4,12,0,51,51,663,0,0
12/07/2025,C,4,12,0,55,55,715,0,0
12/07/2025,Total,12,36,0,159,159,2067,0,0
13/07/2025,A,4,13,0,66,66,858,0,0
13/07/2025,B,4,13,0,61,61,793,0,0
13/07/2025,C,4,13,0,61,61,793,0,0
13/07/2025,Total,12,39,0,188,188,2444,0,0
14/07/2025,A,4,13,0,36,36,468,0,0
14/07/2025,B,4,13,0,17,17,221,0,0
14/07/2025,C,4,13,0,0,0,0,0,0
14/07/2025,Total,12,39,0,53,53,689,0,0
15/07/2025,A,4,13,0,0,0,0,0,0
15/07/2025,B,4,13,0,63,63,819,0,0
15/07/2025,C,4,13,0,77,77,1001,0,0
15/07/2025,Total,12,39,0,140,140,1820,0,0
16/07/2025,A,4,13,0,33,33,429,1,1
16/07/2025,B,4,13,0,94,94,1222,1,1
16/07/2025,C,4,13,0,76,76,988,0,0
16/07/2025,Total,12,39,0,203,203,2639,2,2
17/07/2025,A,4,13,0,99,99,1287,1,1
17/07/2025,B,4,13,0,86,86,1118,1,1
17/07/2025,C,4,13,0,64,64,832,1,1
17/07/2025,Total,12,39,0,249,249,3237,3,3
18/07/2025,A,4,13,0,103,103,1339,1,1
18/07/2025,B,4,13,0,72,72,936,1,1
18/07/2025,C,4,13,0,58,58,754,1,1
18/07/2025,Total,12,39,0,233,233,3029,3,3
19/07/2025,A,4,13,0,84,84,1092,1,1
19/07/2025,B,4,13,0,94,94,1222,1,1
19/07/2025,C,4,13,0,57,57,741,1,1
19/07/2025,Total,12,39,0,235,235,3055,3,3
20/07/2025,A,4,13,0,107,107,1391,1,1
20/07/2025,B,4,13,0,154,154,2002,1,1
20/07/2025,C,4,13,0,74,74,962,1,1
20/07/2025,Total,12,39,0,335,335,4355,3,3
21/07/2025,A,4,13,0,110,110,1430,1,1
21/07/2025,B,4,13,0,77,77,1001,1,1
21/07/2025,C,4,13,0,62,62,806,1,1
21/07/2025,Total,12,39,0,249,249,3237,3,3
22/07/2025,A,4,13,0,83,83,1079,1,1
22/07/2025,B,4,13,0,95,95,1235,1,1
22/07/2025,C,4,13,0,57,57,741,1,1
22/07/2025,Total,12,39,0,235,235,3055,3,3
23/07/2025,A,4,13,0,124,124,1612,1,1
23/07/2025,B,4,13,0,17,17,221,1,1
23/07/2025,C,4,13,0,19,19,247,1,1
